"obs_error","rate_of_change","fisher_min_mean_ts60","log_fisher_min_mean_ts60","regime_shift_time_mean_ts60","fisher_diff_mean_ts60","fisher_log_diff_mean_ts60"
0.2,0.0012,376,373,244.661016949153,-131.338983050847,-128.338983050847
0.2,0.0013,295,334,224.35593220339,-70.6440677966102,-109.64406779661
0.2,0.0014,335,346,204.050847457627,-130.949152542373,-141.949152542373
0.2,0.0015,297,321,193.898305084746,-103.101694915254,-127.101694915254
0.25,5e-04,501,471,579.694915254237,78.6949152542373,108.694915254237
0.25,6e-04,546,517,11.1525423728814,-534.847457627119,-505.847457627119
0.25,7e-04,549,575,417.254237288136,-131.745762711864,-157.745762711864
0.25,8e-04,508,528,366.491525423729,-141.508474576271,-161.508474576271
0.25,9e-04,450,501,325.881355932203,-124.118644067797,-175.118644067797
0.25,0.001,401,447,285.271186440678,-115.728813559322,-161.728813559322
0.25,0.0011,379,428,264.966101694915,-114.033898305085,-163.033898305085
0.25,0.0012,383,413,244.661016949153,-138.338983050847,-168.338983050847
0.25,0.0013,306,354,224.35593220339,-81.6440677966102,-129.64406779661
0.25,0.0014,325,327,204.050847457627,-120.949152542373,-122.949152542373
0.25,0.0015,280,305,193.898305084746,-86.1016949152542,-111.101694915254
0.3,5e-04,470,442,579.694915254237,109.694915254237,137.694915254237
0.3,6e-04,485,527,11.1525423728814,-473.847457627119,-515.847457627119
0.3,7e-04,541,580,417.254237288136,-123.745762711864,-162.745762711864
0.3,8e-04,507,524,366.491525423729,-140.508474576271,-157.508474576271
0.3,9e-04,457,492,325.881355932203,-131.118644067797,-166.118644067797
0.3,0.001,416,450,285.271186440678,-130.728813559322,-164.728813559322
0.3,0.0011,413,431,264.966101694915,-148.033898305085,-166.033898305085
0.3,0.0012,394,403,244.661016949153,-149.338983050847,-158.338983050847
0.3,0.0013,318,331,224.35593220339,-93.6440677966102,-106.64406779661
0.3,0.0014,342,352,204.050847457627,-137.949152542373,-147.949152542373
0.3,0.0015,267,299,193.898305084746,-73.1016949152542,-105.101694915254
